Date,Value
11-Apr-1995,10.5
26-Apr-1995,11.4
9-May-1995,11.6
23-May-1995,11.7
6-Jun-1995,11.2
21-Jun-1995,11.2
20-Jul-1995,11.3
22-Aug-1995,11.5
20-Sep-1995,10.7
24-Oct-1995,11.6
15-Nov-1995,11.4
17-Apr-1996,11.3
1-May-1996,11.1
14-May-1996,10.8
29-May-1996,10.8
11-Jun-1996,11.2
9-Jul-1996,11.3
5-Sep-1996,11.5
2-Oct-1996,11.6
15-Oct-1996,11.1
5-Nov-1996,11.2
22-Apr-1997,9.9
7-May-1997,9.9
20-May-1997,10.3
3-Jun-1997,11.1
18-Jun-1997,11.0
24-Jul-1997,11.1
21-Aug-1997,11.1
22-Sep-1997,10.9
22-Oct-1997,11.0
4-Nov-1997,10.7
15-Apr-1998,10.6
30-Apr-1998,10.9
12-May-1998,10.5
26-May-1998,10.3
10-Jun-1998,9.6
16-Jul-1998,9.3
6-Aug-1998,10.7
1-Sep-1998,10.2
30-Sep-1998,9.5
13-Oct-1998,11.8
2-Nov-1998,10.9
14-Apr-1999,10.8
27-Apr-1999,10.3
12-May-1999,10.6
26-May-1999,11.1
9-Jun-1999,11.1
23-Jun-1999,11.9
21-Jul-1999,11.0
11-Aug-1999,11.4
9-Sep-1999,11.6
6-Oct-1999,11.1
20-Oct-1999,10.9
4-Nov-1999,10.9
12-Apr-2000,11.6
25-Apr-2000,11.0
9-May-2000,10.3
23-May-2000,9.5
6-Jun-2000,9.5
27-Jun-2000,11.1
26-Jul-2000,10.2
24-Aug-2000,10.6
19-Sep-2000,10.9
19-Oct-2000,10.7
1-Nov-2000,11.1
1-May-2001,10.0
16-May-2001,8.6
30-May-2001,10.0
13-Jun-2001,10.5
27-Jun-2001,10.0
24-Jul-2001,10.4
22-Aug-2001,10.4
20-Sep-2001,10.0
19-Oct-2001,8.9
6-Nov-2001,10.0
16-Apr-2002,10.5
30-Apr-2002,10.3
15-May-2002,10.7
29-May-2002,10.6
11-Jun-2002,10.6
26-Jun-2002,10.4
19-Jul-2002,10.0
29-Aug-2002,10.3
26-Sep-2002,10.3
23-Oct-2002,10.4
6-Nov-2002,10.3
6-May-2003,10.8
20-May-2003,10.6
3-Jun-2003,10.7
19-Jun-2003,10.8
18-Jul-2003,10.2
14-Aug-2003,10.7
10-Sep-2003,10.3
10-Oct-2003,10.4
22-Oct-2003,10.3
11-Nov-2003,11.6
29-Apr-2004,10.3
11-May-2004,12.0
25-May-2004,11.1
8-Jun-2004,11.5
24-Jun-2004,12.2
22-Jul-2004,12.3
23-Aug-2004,11.3
22-Sep-2004,11.3
20-Oct-2004,11.5
2-Nov-2004,11.4
17-Nov-2004,11.4
26-Apr-2005,12.1
10-May-2005,11.9
25-May-2005,12.4
9-Jun-2005,12.2
21-Jun-2005,12.2
21-Jul-2005,12.2
19-Aug-2005,12.8
13-Sep-2005,12.1
11-Oct-2005,11.6
27-Oct-2005,12.2
8-Nov-2005,12.3
11-Apr-2006,11.5
25-Apr-2006,11.3
11-May-2006,11.3
24-May-2006,12.0
7-Jun-2006,11.2
21-Jun-2006,11.1
18-Jul-2006,10.3
18-Aug-2006,10.5
15-Sep-2006,12.0
11-Oct-2006,12.2
25-Oct-2006,11.4
8-Nov-2006,10.8
1-May-2007,12.4
16-May-2007,12.0
30-May-2007,12.0
13-Jun-2007,12.5
10-Jul-2007,13.1
8-Aug-2007,12.8
5-Sep-2007,13.8
2-Oct-2007,13.2
30-Oct-2007,12.7
14-Nov-2007,12.6
23-Apr-2008,11.3
7-May-2008,10.9
20-May-2008,11.5
4-Jun-2008,11.6
18-Jun-2008,13.0
15-Jul-2008,12.4
12-Aug-2008,11.9
27-Aug-2008,12.5
12-Sep-2008,11.9
9-Oct-2008,13.2
22-Oct-2008,12.3
4-Nov-2008,12.1
21-Apr-2009,11.9
5-May-2009,11.4
19-May-2009,11.9
3-Jun-2009,11.2
17-Jun-2009,11.5
30-Jun-2009,11.4
29-Jul-2009,11.5
